date,state,hospitalizedCurrently,death,deathIncrease,inIcuCurrently,positive,totalTestResults,totalTestsViral
2020-03-07,Alabama,0,0,0,0,0,0,0
2020-03-07,Alaska,0,0,0,0,0,12,12
2020-03-07,Arizona,0,0,0,0,5,117,117
2020-03-07,Arkansas,0,0,0,0,0,6,6
2020-03-07,California,0,0,0,0,69,531,531
2020-03-07,Colorado,0,0,0,0,8,0,0
2020-03-07,Connecticut,0,0,0,0,0,64,64
2020-03-07,Delaware,0,0,0,0,0,0,0
2020-03-07,Florida,0,0,0,0,8,116,0
2020-03-07,Georgia,0,0,0,0,6,0,0
2020-03-07,Hawaii,0,0,0,0,1,7,0
2020-03-07,Idaho,0,0,0,0,0,27,0
2020-03-07,Illinois,0,0,0,0,6,0,0
2020-03-07,Indiana,0,0,0,0,1,27,27
2020-03-07,Iowa,0,0,0,0,0,15,0
2020-03-07,Kansas,0,0,0,0,0,11,0
2020-03-07,Kentucky,0,0,0,0,1,10,10
2020-03-07,Louisiana,0,0,0,0,0,0,0
2020-03-07,Maine,0,0,0,0,0,0,0
2020-03-07,Maryland,0,0,0,0,3,0,0
2020-03-07,Massachusetts,0,0,0,0,13,251,251
2020-03-07,Michigan,0,0,0,0,188,0,0
2020-03-07,Minnesota,0,0,0,0,2,50,0
2020-03-07,Mississippi,0,0,0,0,0,0,0
2020-03-07,Missouri,0,0,0,0,0,23,23
2020-03-07,Montana,0,0,0,0,0,11,11
2020-03-07,Nebraska,0,0,0,0,1,79,79
2020-03-07,Nevada,0,0,0,0,4,73,0
2020-03-07,New Hampshire,0,0,0,0,2,46,46
2020-03-07,New Jersey,0,0,0,0,4,4,0
2020-03-07,New Mexico,0,0,0,0,0,10,10
2020-03-07,New York,0,0,0,0,36,188,0
2020-03-07,North Carolina,0,0,0,0,2,0,0
2020-03-07,North Dakota,0,0,0,0,0,0,0
2020-03-07,Ohio,0,0,0,0,0,5,5
2020-03-07,Oklahoma,0,0,0,0,1,1,0
2020-03-07,Oregon,0,0,0,0,3,0,0
2020-03-07,Pennsylvania,0,0,0,0,4,27,0
2020-03-07,Rhode Island,0,0,0,0,3,36,55
2020-03-07,South Carolina,0,0,0,0,2,10,0
2020-03-07,South Dakota,0,0,0,0,0,0,0
2020-03-07,Tennessee,0,0,0,0,1,0,0
2020-03-07,Texas,0,0,0,0,5,2260,2260
2020-03-07,Utah,0,0,0,0,1,16,16
2020-03-07,Vermot,0,0,0,0,0,17,17
2020-03-07,Virginia,0,0,0,0,0,6457,0
2020-03-07,Washington,0,27,1,0,206,2092,0
2020-03-07,West Virginia,0,0,0,0,0,0,0
2020-03-07,Wisconsin,0,0,0,0,1,31,0
2020-03-07,Wyoming,0,0,0,0,0,8,8
2020-03-08,Alabama,0,0,0,0,0,0,0
2020-03-08,Alaska,0,0,0,0,0,14,14
2020-03-08,Arizona,0,0,0,0,5,130,130
2020-03-08,Arkansas,0,0,0,0,0,6,6
2020-03-08,California,0,0,0,0,88,550,550
2020-03-08,Colorado,0,0,0,0,9,0,0
2020-03-08,Connecticut,0,0,0,0,1,87,87
2020-03-08,Delaware,0,0,0,0,0,0,0
2020-03-08,Florida,0,0,0,0,12,143,0
2020-03-08,Georgia,0,0,0,0,7,0,0
2020-03-08,Hawaii,0,0,0,0,1,9,0
2020-03-08,Idaho,0,0,0,0,0,27,0
2020-03-08,Illinois,0,0,0,0,6,0,0
2020-03-08,Indiana,0,0,0,0,2,33,33
2020-03-08,Iowa,0,0,0,0,0,15,0
2020-03-08,Kansas,0,0,0,0,1,12,0
2020-03-08,Kentucky,0,0,0,0,1,14,14
2020-03-08,Louisiana,0,0,0,0,0,5,0
2020-03-08,Maine,0,0,0,0,0,0,0
2020-03-08,Maryland,0,0,0,0,3,0,0
2020-03-08,Massachusetts,0,0,0,0,13,312,312
2020-03-08,Michigan,0,0,0,0,251,0,0
2020-03-08,Minnesota,0,0,0,0,2,50,0
2020-03-08,Mississippi,0,0,0,0,0,0,0
2020-03-08,Missouri,0,0,0,0,1,31,31
2020-03-08,Montana,0,0,0,0,0,11,11
2020-03-08,Nebraska,0,0,0,0,1,92,92
2020-03-08,Nevada,0,0,0,0,4,103,0
2020-03-08,New Hampshire,0,0,0,0,4,76,76
2020-03-08,New Jersey,0,0,0,0,6,37,0
2020-03-08,New Mexico,0,0,0,0,0,46,46
2020-03-08,New York,0,0,0,0,60,388,0
2020-03-08,North Carolina,0,0,0,0,2,0,0
2020-03-08,North Dakota,0,0,0,0,0,0,0
2020-03-08,Ohio,0,0,0,0,0,6,6
2020-03-08,Oklahoma,0,0,0,0,1,9,0
2020-03-08,Oregon,0,0,0,0,7,0,0
2020-03-08,Pennsylvania,0,0,0,0,6,39,0
2020-03-08,Rhode Island,0,0,0,0,3,55,73
2020-03-08,South Carolina,0,0,0,0,2,10,0
2020-03-08,South Dakota,0,0,0,0,0,0,0
2020-03-08,Tennessee,0,0,0,0,3,0,0
2020-03-08,Texas,0,0,0,0,5,2268,2268
2020-03-08,Utah,0,0,0,0,1,27,27
2020-03-08,Vermot,0,0,0,0,1,26,26
2020-03-08,Virginia,0,0,0,0,2,6462,0
2020-03-08,Washington,0,31,4,0,244,2632,0
2020-03-08,West Virginia,0,0,0,0,0,0,0
2020-03-08,Wisconsin,0,0,0,0,1,31,0
2020-03-08,Wyoming,0,0,0,0,0,9,9
2020-03-09,Alabama,0,0,0,0,0,0,0
2020-03-09,Alaska,0,0,0,0,0,23,23
2020-03-09,Arizona,0,0,0,0,5,147,147
2020-03-09,Arkansas,0,0,0,0,0,12,12
2020-03-09,California,0,0,0,0,114,804,804
2020-03-09,Colorado,0,0,0,0,12,0,0
2020-03-09,Connecticut,0,0,0,0,1,122,122
2020-03-09,Delaware,0,0,0,0,0,0,0
2020-03-09,Florida,0,0,0,0,13,179,0
2020-03-09,Georgia,0,0,0,0,12,6,6
2020-03-09,Hawaii,0,0,0,0,2,11,0
2020-03-09,Idaho,0,0,0,0,0,41,0
2020-03-09,Illinois,0,0,0,0,7,0,0
2020-03-09,Indiana,0,0,0,0,2,42,42
2020-03-09,Iowa,0,0,0,0,3,29,0
2020-03-09,Kansas,0,0,0,0,1,12,0
2020-03-09,Kentucky,0,0,0,0,4,21,21
2020-03-09,Louisiana,0,0,0,0,1,6,0
2020-03-09,Maine,0,0,0,0,0,0,0
2020-03-09,Maryland,0,0,0,0,5,0,0
2020-03-09,Massachusetts,0,0,0,0,41,393,393
2020-03-09,Michigan,0,0,0,0,372,0,0
2020-03-09,Minnesota,0,0,0,0,5,85,0
2020-03-09,Mississippi,0,0,0,0,0,0,0
2020-03-09,Missouri,0,0,0,0,1,36,36
2020-03-09,Montana,0,0,0,0,0,11,11
2020-03-09,Nebraska,0,0,0,0,3,101,101
2020-03-09,Nevada,0,0,0,0,5,126,0
2020-03-09,New Hampshire,0,0,0,0,4,93,93
2020-03-09,New Jersey,0,0,0,0,15,50,0
